,OI,ON,OO,OW,TI,TN,TO,TW
Intercept,1.459850666,-13.69840985,-0.256595178,0.937552325,1.378230664,-14.08056997,1.099208789,0
systemReception Overpass,-1.6012607,-0.783537628,-1.062436795,-0.800488683,-0.449798641,-0.600463714,-0.610280723,0
blockersnone,-0.077857917,-0.357255431,-0.154903055,-0.662404886,-0.395533806,-0.036218859,-1.955078772,0
blockersseam,-0.202107105,-0.151074202,-0.234900048,-0.339068329,-0.228860988,0.424738706,-0.626674022,0
blockerssolo,-0.143677022,0.052963661,-0.038216128,-0.19571209,-0.030038803,0.466006393,-0.210241889,0
blockerstriple,0.330136516,0.841534391,0.464639846,0.184764794,0.049979642,1.448685247,-0.414360721,0
blockersunknown,2.014284158,0.070078944,1.172690343,0.520979983,-0.099050603,0.866174066,-0.502354948,0
attack_start_zoneZone 2,-2.164980089,10.96804498,-0.348273909,-1.619139079,-3.044565627,11.1119645,-2.631367135,0
attack_start_zoneZone 3,-2.336805744,10.78591099,-0.489814394,-1.660162639,-3.112206194,10.91157924,-2.703237975,0
attack_start_zoneZone 4,-2.022343809,10.96473541,-0.290367868,-1.57992639,-2.941766239,11.05264557,-2.639397378,0
attack_start_zoneZone 7,-0.407324553,11.2582181,0.741727732,-0.540585591,-1.971442221,13.07442441,-2.33923944,0
attack_start_zoneZone 8,-0.775049117,12.0734289,0.355236715,-0.755362531,-2.920684486,11.83637578,-2.976793746,0
attack_start_zoneZone 9,-1.448858522,-0.86637424,-0.477335721,-0.634786715,-2.914310908,11.60409003,-2.088939838,0
